category,target,field,value
grinder_signal,6-L,input_done_id,
grinder_signal,6-L,output_in_progress_id,
grinder_signal,6-L,output_done_id,
grinder_position,6-R,amr_pos,LM6
grinder_position,6-R,mani_pos,52
grinder_signal,6-R,input_ready_id,6012.2
grinder_signal,6-R,output_ready_id,6012.3
grinder_signal,6-R,safe_pos_id,
grinder_signal,6-R,input_in_progress_id,
grinder_signal,6-R,input_done_id,
grinder_signal,6-R,output_in_progress_id,
grinder_signal,6-R,output_done_id,
